sepalLength	sepalWidth	pozivatelj	vrijeme	zapis	trajanje
18	13	Marta	18:13	odlazni poziv	2 min 43 sec
12	13	Ivan	12:08	odlazni poziv	13 min 23 sec
1	14	Željko	1:03	odlazni poziv	3 min 40 sec
18	17	Marta	18:13	odlazni poziv	2 min 43 sec
12	17	Ivan	12:08	odlazni poziv	13 min 23 sec
1	18	Željko	1:03	odlazni poziv	3 min 40 sec
11	18	Branko	10:49	odlazni poziv	13 min 23 sec
8	18	Marijan	8:02	odlazni poziv	9 min 13 sec
2	19	Lovro	2:11	odlazni poziv	3 min 40 sec
18	19	Marta	18:13	odlazni poziv	2 min 43 sec
12	20	Ivan	12:08	odlazni poziv	13 min 23 sec
1	20	Željko	1:03	odlazni poziv	3 min 40 sec
11	22	Branko	10:49	odlazni poziv	13 min 23 sec
8	22	Marijan	8:02	odlazni poziv	9 min 13 sec
2	22	Lovro	2:11	odlazni poziv	3 min 40 sec
18.5	23	Lorna	18:33	odlazni poziv	2 min 43 sec
12	23	Ivan	12:08	odlazni poziv	13 min 23 sec
18	29	Marta	18:13	odlazni poziv	2 min 43 sec
12	29	Ivan	12:08	odlazni poziv	13 min 23 sec
4	2	Igor	4:12	dolazni poziv	2 min 43 sec
5.5	3	Stjepan	5:27	dolazni poziv	3 min 40 sec
6.5	3	Sara	6:34	dolazni poziv	9 min 13 sec
6.5	6	Sara	6:34	dolazni poziv	9 min 13 sec
20	6	Marta	19:53	dolazni poziv	2 min 43 sec
4.5	6	Ivan	4:28	dolazni poziv	13 min 23 sec
9.5	6	Željko	9:33	dolazni poziv	3 min 40 sec
4	8	Igor	4:12	dolazni poziv	2 min 43 sec
5.5	8	Stjepan	5:27	dolazni poziv	3 min 40 sec
20	8	Marta	19:53	dolazni poziv	2 min 43 sec
4.5	9	Ivan	4:28	dolazni poziv	13 min 23 sec
9.5	10	Željko	9:33	dolazni poziv	3 min 40 sec
13	10	Branko	12:49	dolazni poziv	13 min 23 sec
5.5	11	Stjepan	5:27	dolazni poziv	3 min 40 sec
6.5	11	Sara	6:34	dolazni poziv	9 min 13 sec
15	12	Maja	14:56	dolazni poziv	41 min 33 sec
20	12	Marta	19:53	dolazni poziv	2 min 43 sec
4.5	12	Ivan	4:28	dolazni poziv	13 min 23 sec
9.5	13	Željko	9:33	dolazni poziv	3 min 40 sec
13	13	Branko	12:49	dolazni poziv	13 min 23 sec
4	14	Igor	4:12	dolazni poziv	2 min 43 sec
5.5	14	Stjepan	5:27	dolazni poziv	3 min 40 sec
6.5	15	Sara	6:34	dolazni poziv	9 min 13 sec
6.5	21	Sara	6:34	dolazni poziv	9 min 13 sec
15	22	Maja	14:56	dolazni poziv	41 min 33 sec
20	23	Marta	19:53	dolazni poziv	2 min 43 sec
4.5	23	Ivan	4:28	dolazni poziv	13 min 23 sec
9.5	23	Željko	9:33	dolazni poziv	3 min 40 sec
4	23	Igor	4:12	dolazni poziv	2 min 43 sec
5.5	24	Stjepan	5:27	dolazni poziv	3 min 40 sec
6.5	24	Sara	6:34	dolazni poziv	9 min 13 sec
15	24	Maja	14:56	dolazni poziv	41 min 33 sec
9.5	25	Željko	9:33	dolazni poziv	3 min 40 sec
6.5	27	Sara	6:34	dolazni poziv	9 min 13 sec
20	28	Marta	19:53	dolazni poziv	2 min 43 sec
4.5	29	Ivan	4:28	dolazni poziv	13 min 23 sec
9.5	29	Željko	9:33	dolazni poziv	3 min 40 sec
